Product Name,SKU,Color,Size,Material,URL
"Peugeot Paris Nature Pepper Mill, 12cmPeugeot Paris Nature Pepper Mill, 12cm",100220,Natural Nature,12cm,Wood,https://peugeotmillsaustralia.com.au/products/peugeot-paris-nature-pepper-mill-12-cm
"Peugeot Paris Pepper Mill, 80cmPeugeot Paris Pepper Mill, 80cm",100198,Chocolate,80cm,Wood,https://peugeotmillsaustralia.com.au/products/peugeot-paris-pepper-mill-80-cm
"Peugeot Paris Pepper Mill, 50cmPeugeot Paris Pepper Mill, 50cm",100197,Chocolate,50cm,Wood,https://peugeotmillsaustralia.com.au/products/peugeot-paris-pepper-mill-50-cm
"Peugeot Paris Pepper Mill, 40cmPeugeot Paris Pepper Mill, 40cm",100196,Chocolate,40cm,Wood,https://peugeotmillsaustralia.com.au/products/peugeot-paris-pepper-mill-40-cm
"Peugeot Paris Pepper Mill, 30cmPeugeot Paris Pepper Mill, 30cm",100186,Natural Wood,30cm,Wood,https://peugeotmillsaustralia.com.au/products/peugeot-paris-pepper-mill-30-cm
"Peugeot Paris Pepper Mill, 22cmPeugeot Paris Pepper Mill, 22cm",100184,Natural Wood,22cm,Wood,https://peugeotmillsaustralia.com.au/products/peugeot-paris-pepper-mill-22-cm
"Peugeot Parisrama Pepper Mill, 18cmPeugeot Parisrama Pepper Mill, 18cm",100207,Pacific Blue,18cm,Wood,https://peugeotmillsaustralia.com.au/products/peugeot-parisrama-pepper-mill-18-cm
"Peugeot Paris Pepper Mill, 18cmPeugeot Paris Pepper Mill, 18cm",100182,Natural Wood,18cm,Wood,https://peugeotmillsaustralia.com.au/products/peugeot-paris-pepper-mill-18-cm
"Peugeot Paris Pepper Mill, 12cmPeugeot Paris Pepper Mill, 12cm",100180,Natural Wood,12cm,Wood,https://peugeotmillsaustralia.com.au/products/peugeot-paris-pepper-mill-12-cm
"Peugeot Nancy Salt & Pepper Mills Duo in Acrylic, 18cmPeugeot Nancy Salt & Pepper Mills Duo in Acrylic, 18cm",100175,Transparent,18cm,Acrylic,https://peugeotmillsaustralia.com.au/products/peugeot-nancy-salt-pepper-mills-duo-in-acrylic-18-cm
"Peugeot Nancy Salt & Pepper Mills Duo in Acrylic, 12cmPeugeot Nancy Salt & Pepper Mills Duo in Acrylic, 12cm",100174,Transparent,12cm,Acrylic,https://peugeotmillsaustralia.com.au/products/peugeot-nancy-salt-pepper-mills-duo-in-acrylic-12-cm
"Peugeot Nancy Pepper Mill in Acrylic, 38cmPeugeot Nancy Pepper Mill in Acrylic, 38cm",100172,Transparent,38cm,Acrylic,https://peugeotmillsaustralia.com.au/products/peugeot-nancy-pepper-mill-in-acrylic-38-cm
"Peugeot Nancy Pepper Mill in Acrylic, 30cmPeugeot Nancy Pepper Mill in Acrylic, 30cm",100170,Transparent,30cm,Acrylic,https://peugeotmillsaustralia.com.au/products/peugeot-nancy-pepper-mill-in-acrylic-30-cm
"Peugeot Nancy Pepper Mill in Acrylic, 22cmPeugeot Nancy Pepper Mill in Acrylic, 22cm",100168,Transparent,22cm,Acrylic,https://peugeotmillsaustralia.com.au/products/peugeot-nancy-pepper-mill-in-acrylic-22-cm
"Peugeot Nancy Pepper Mill in Acrylic, 18cmPeugeot Nancy Pepper Mill in Acrylic, 18cm",100165,Transparent,18cm,Acrylic,https://peugeotmillsaustralia.com.au/products/peugeot-nancy-pepper-mill-in-acrylic-18-cm
"Peugeot Nancy Pepper Mill in Acrylic, 12cmPeugeot Nancy Pepper Mill in Acrylic, 12cm",100163,Transparent,12cm,Acrylic,https://peugeotmillsaustralia.com.au/products/peugeot-nancy-pepper-mill-in-acrylic-12-cm
"Peugeot Bistro Nature Pepper Mill, 10cmPeugeot Bistro Nature Pepper Mill, 10cm",100151,Natural Nature,10cm,Wood,https://peugeotmillsaustralia.com.au/products/peugeot-bistro-antique-pepper-mill-in-aged-wood-10-cm-copy
"Peugeot Bistro Antique Pepper Mill in Aged Wood, 10 cmPeugeot Bistro Antique Pepper Mill in Aged Wood, 10 cm",100141,Aged Wood,10cm,Wood,https://peugeotmillsaustralia.com.au/products/peugeot-bistro-pepper-mill-in-acrylic-10-cm-copy
"Peugeot Bistro Pepper Mill in Acrylic, 10 cmPeugeot Bistro Pepper Mill in Acrylic, 10 cm",100106,Transparent,10cm,Acrylic,https://peugeotmillsaustralia.com.au/products/peugeot-bistro-transparent-pepper-mill-10-cm
"Peugeot BBQ Pepper Mill in Graphite, 30 cmPeugeot BBQ Pepper Mill in Graphite, 30 cm",100465,Graphite,30cm,Wood,https://peugeotmillsaustralia.com.au/products/peugeot-bbq-pepper-mill-in-graphite-wood-30cm
"Peugeot Daman u'Select Salt & Pepper Mills Duo, 16 cmPeugeot Daman u'Select Salt & Pepper Mills Duo, 16 cm",100449,Transparent,16cm,Acrylic & Stainless Steel,https://peugeotmillsaustralia.com.au/products/peugeot-daman-s-p-duo-16cm-uselect
"Peugeot Line Pepper Mill, 12 cmPeugeot Line Pepper Mill, 12 cm",100430,Natural Wood & Aluminium,12cm,Aluminium,https://peugeotmillsaustralia.com.au/products/peugeot-pepper-mill-in-aluminium-body-12-cm
"Peugeot Bistro Chef Pepper Mill in Stainless Steel, 10 cmPeugeot Bistro Chef Pepper Mill in Stainless Steel, 10 cm",100143,Stainless Steel,10cm,Stainless Steel,https://peugeotmillsaustralia.com.au/products/bistro-chef-pepper-mill-in-stainless-steel-10-cm
"Peugeot Bistrorama Pepper Mill, 10 cmPeugeot Bistrorama Pepper Mill, 10 cm",100116,Grey,10cm,Wood,https://peugeotmillsaustralia.com.au/products/peugeot-bistro-pepper-mill-in-passion-red-10-cm
"Peugeot Bistro Pepper Mill, 10 cmPeugeot Bistro Pepper Mill, 10 cm",100100,Natural Wood,10cm,n/a,https://peugeotmillsaustralia.com.au/products/peugeot-bistro-pepper-mill-in-natural-wood-10-cm
